,username,accountname,peer follower,follower,time on Twitter
147,@milena_ivanova_,Milena Ivanova 💙💛,174,1247,6
148,@ankeny_rachel,Prof Rachel A. Ankeny,173,2625,3
149,@philo_celine,Céline Leboeuf,173,1337,3
150,@bellarose__k,bella-rose💙,172,2463,7
151,@RachaelBrown42,Rachael Brown,172,1436,11
152,@KathyPuddifoot,Kathy Puddifoot,171,1271,8
153,@ArfaOksana,Oksana Ferents,170,1199,9
154,@JesusMinusU,Dr. Jess Adkins 🪗,170,1037,12
155,@ProfessorShaw,Tamsin Shaw,169,12844,4
156,@chezaristote,M.M.Townsend,169,3081,13
157,@thyacinth,Xin Hui is under-educated and over-loved,169,2512,12
158,@NancyAMcHugh,Nancy McHugh,169,1393,8
159,@MoniGlezRiedel,Monica Gonzalez🌻☀️,169,1301,5
160,@nwyatt,"Nicole Wyatt, PhD",168,1686,13
161,@hippocampa,5ASkia,167,1666,12
162,@ediazleon,Dr. Esa Díaz León,166,1027,15
163,@cathyby,Cathy B 🌻,165,4366,12
164,@tertiagillett,Tertia Gillett,165,1678,4
165,@theheidifeed,"love&peace, heidi",163,1511,11
166,@KristinAndrewz,Kristin Andrews,162,1825,9
167,@KatieKendig,Katie Kendig,162,1285,10
168,@thedanahoward,Dana Howard,161,1109,8
169,@_JAStockdale,Jack Stockdale,160,1190,12
170,@GraceNonToxic,Grace Cebrero,159,1534,8
171,@bathelina,Hannah B is trying to write,158,2444,10
172,@ProfLaurenRoss,Lauren N. Ross,157,2203,1
173,@amykind,Amy Kind,157,1032,13
174,@AmyReedSandoval,Amy Reed-Sandoval,156,1340,5
175,@IngridRobeyns,Ingrid Robeyns,155,6290,11
176,@cantabcatherine,Catherine French,153,1588,8
177,@doctaj,Robin James,152,10174,14
178,@SophieFernier,Sophie,152,1701,5
179,@livcoombes,Liv 🔥,152,1355,3
180,@Susana_MonsO,Susana Monsó,151,2829,2
181,@drcolekat,Nicole Vincent,151,1809,13
182,@ellieanderphd,Ellie Anderson,149,2392,3
183,@KathrynNave,Kate Nave,149,1320,10
184,@yournerdyfriend,monstera adansonii,146,4344,6
185,@ShannonDea1,Shannon Dea,146,1847,9
186,@er_ogland,Emily Rose Ogland,142,1196,5
187,@SportIsARight,Dr. Veronica Ivy,141,11451,11
188,@schwarz_seher,Sera,141,1629,5
189,@RRitunnano,Rosa Ritunnano,138,3635,2
190,@jackieAsullivan,Jacqueline Anne Sullivan,138,1048,10
191,@AlineMayaP,Dr Aline Maya,137,3809,6
192,@lucyamcdonald,Lucy McDonald,137,2543,8
193,@SophieStams,Dr Sophie Stammers,136,1123,10
194,@learnfromerror,♕Deborah Mayo♕,134,7234,8
195,@qualiaisreal,Alison Niedbalski,134,2776,13
196,@LizaJThompson,Liza Thompson,134,1662,10
197,@WhyJenWhy,small stellated dodecahadron collider,134,1302,8
198,@LizMcKinnell,Liz McKinnell,134,1077,10
199,@emmyzen,Emmy van Deurzen☀️🌍 🌻🌹🌳🇪🇺🇫🇷🇳🇱🇬🇧🇺🇸⭐️,133,56163,13
200,@SabineRoeser,Sabine Roeser,133,2182,10
201,@tenderlettuce,Tender Lettuce 🥬,133,1677,3
202,@Hawally_,Adriana Alcaraz-Sánchez🦇,133,1276,7
203,@Cepaea,Roberta Millstein,133,1045,13
204,@a_n_a_berg,Anastasia Berg,132,2921,5
205,@s_m_kay,S K🛁🏴,131,1412,6
206,@mary_leng,Mary Leng,130,2766,6
207,@mariabaghramian,maria baghramian,130,1236,13
208,@mollycrockett,M.J. Crockett,129,14647,11
209,@Dr_inPhieVeigl,Sophie Juliane Veigl,129,1474,4
210,@philizopher,wintermoonrise,129,1162,12
211,@MollieGerver,Mollie Gerver,128,1266,13
212,@LILCICERCH,Lillian Cicerchia,127,5421,2
213,@babette_babich,Babette Babich,127,4276,10
214,@DrKeishaRay,"Keisha Ray, PhD",127,2513,3
215,@DrClareChambers,Clare Chambers,127,1697,9
216,@OpheliaDeroy,ophelia.deroy,127,1606,10
217,@AmeliaHorgan,Amelia Horgan,125,19062,11
218,@annaortin,Anna Ortín Nadal,125,1061,10
219,@amyrmarv,Amy Marvin,124,4675,6
220,@Jen_BMJ,Dr Jen Krutzinna,124,1928,8
221,@trexproject,L. A. Paul,124,1301,8
222,@GDolske,Gwendolyn Dolske,124,1240,9
223,@firepile,Robin Z.,123,2413,14
224,@giuli_cavaliere,Giulia Cavaliere,123,1754,6
225,@sophie_r_allen,Dr Sophie Allen,122,3327,4
226,@karen_kyng,Karen Ng,122,2529,1
227,@skdevitt,Kate Devitt,122,2513,13
228,@sandrineankara,Sandrine Berges,122,1398,12
229,@alinemramos,"Aline M. Ramos, PhD",121,1564,14
230,@pirateV,Vanessa Bentley,121,1026,13
231,@lunadolezal,Luna Dolezal,120,2172,9
232,@FigNuisance,👖Denim on Denim Fan Account👖,120,1286,9
233,@federicarusso,Federica Russo,120,1211,9
234,@boodleoops,becca,117,18907,12
235,@MatinaLiosi,Matina Liosi,117,1350,2
236,@amelapay,Pamela J. Hobart,116,6114,13
237,@IrishPhilosophy,IrishPhilosophy,116,4121,7
238,@AlexBradner,Alexandra Bradner,114,1545,10
239,@pilica,Pilar Herraiz,110,2304,14
240,@goldenbergmaya1,Dr. Maya J. Goldenberg,110,1522,1
241,@AlisonReiheld,"Alison Reiheld, PhD",110,1001,8
242,@participha,hanne de jaegher,109,1599,7
243,@mmsksie,Maureen Sie,108,1094,12
244,@ellieabyrne,Eleanor Byrne,108,1067,12
245,@nmcafee,Noelle McAfee,107,1160,13
246,@KrisMeshelski,Kristina Meshelski,106,1002,10
247,@platobooktour,Rebecca Newberger Goldstein,105,67158,8
248,@ashwinivasantha,AV,104,2128,9
249,@APetropanagos,Angel Petropanagos,104,1507,13
250,@AdrielTrott,Adriel M Trott,104,1014,9
251,@OxPhil_Marianne,Marianne Talbot,102,3146,9
252,@qaxaawut,Shelbi Nahwilet 🌰,102,2834,11
253,@LeneAuestad,Dr Lene Auestad,102,2643,7
254,@JenelleGloria,jenelle salisbury,101,1193,12
255,@ElineAtSea,Eline Gerritsen,100,1025,11
256,@ErinJNash,Erin Nash,99,1211,9
257,@gwen_h_marshall,Gwendolyn Marshall,97,1277,10
258,@Darlobrat,nadia mehdi,96,1638,10
259,@estherkey,Esther Keymolen,95,2768,13
260,@CHSommers,Christina Sommers,94,304293,10
261,@gemmalucysmart,Gemma Lucy Smart,94,1384,12
262,@rach_a_williams,Rachel Anne Williams,93,6878,6
263,@RuthxJackson,Ruth Jackson Ravenscroft 🦥,93,2340,7
264,@MartaHalina,Marta Halina,93,1075,8
265,@bevclack,Beverley Clack 🐈 📚🧶🌹🌳🏏💀,92,7010,11
266,@lucypphilosophy,Lucy Prior,92,1504,2
267,@FranciMinerva,Francesca Minerva,90,2966,9
268,@cherfeld,Catherine Herfeld,89,1017,4
269,@heddamorch,Hedda Hassel Mørch,88,1532,6
270,@FrancoiseBaylis,"Francoise Baylis, PhD",83,4011,9
271,@ArianneShahvisi,Arianne Shahvisi,83,2230,1
272,@Arrate_Filo,Arrate Aparicio,79,6314,3
273,@clhendricksbc,Christina Hendricks,79,2568,11
274,@amber_bowen,Amber Bowen,78,3046,9
275,@sabinedoering,Sabine Döring,77,4808,12
276,@Sarah_Bakewell,Sarah Bakewell,76,4729,12
277,@ineshipolito,Inês Hipólito,75,1815,12
278,@catherinerowett,Prof Catherine Rowett 💚 Ex-MEP,74,6306,8
279,@RosariaTaddeo,Mariarosaria Taddeo,74,6092,8
280,@LooraKennedy,Laura Kennedy,73,9896,8
281,@elesebdowden,dr elese,72,1427,5
282,@KaurinShanks,Dr. Pauline Shanks Kaurin,70,4686,3
283,@FalguniSheth,Falguni Sheth,70,3347,12
284,@BlumenthalBarby,JS Blumenthal-Barby,70,1187,10
285,@PostigoElena,Elena Postigo,69,13567,10
286,@rekastner,Ruth E. Kastner,69,2705,12
287,@ProfSDodds,Susan Dodds,68,1594,6
288,@janedryden,Jane Dryden,68,1050,13
289,@vermeulen_sara,Sara,64,1248,8
290,@ariannabetti,Professor Arianna Betti,63,1068,11
291,@Scheopner,Dr. Cindy,62,4219,13
292,@SEFrench,Shannon E. French🌻,62,4001,13
293,@jud1ths1mon,judith simon,61,2179,8
294,@DhandaMeena,Meena Dhanda,60,2049,8
295,@elisa_freschi,elisa freschi,59,2125,2
296,@emilyryall,Emily Ryall,59,1576,13
297,@merceg1,merce garcia F,58,2366,10
298,@AineMarieMahon,Dr Áine Mahon,58,1865,1
299,@equreshihurst,Emily Qureshi-Hurst,58,1441,4
300,@DianeOLeary,"Diane O'Leary, PhD",54,1673,12
301,@Mrollila,Maija-Riitta Ollila,52,3380,7
302,@BeckPitt,Dr. Beck Pitt,52,3147,11
303,@pickstockc,Catherine Pickstock,51,3767,3
304,@CynthiaRogandeR,CynthiaRogandeRamire,51,2280,9
305,@janeclarejones,Dr. Jane Clare Jones 🦕,50,52375,11
306,@yukoim,Yuko Murakami,49,3232,12
307,@AngelaRoothaan,Dr. Angela Roothaan,49,1237,8
308,@carinaprunkl,Carina Prunkl,49,1210,3
309,@sarahlillyheidt,Sarah Lilly (Heidt) Eaton,47,1543,11
310,@emilylawsonpoet,Emily Lawson,47,1218,6
311,@JoanaRSSousa,joana rita sousa 🦄 💩💎 (she/her/ela/a),46,18030,13
312,@sabrinablittle,Sabrina Little,45,4940,11
313,@Marnie_HW,MarnieHW,45,4321,8
314,@gloriaoriggi,Gloria Origgi,45,1482,13
315,@JosetteDaemen,Josette Daemen,44,3655,2
316,@kkolozova,Katerina Katarina Kolozova,44,2508,12
317,@TafallaMarta,Marta Tafalla,42,8903,9
318,@sofia_blancos,Sofia Blanco Sequeiros 🇺🇦,41,1441,8
319,@EGeertsPhD,"Evelien Geerts, PhD",41,1268,13
320,@fidlerfm,Fiona Fidler,40,2372,12
321,@FilippaRonquist,Filippa Ronquist,39,2228,8
322,@cruwelli,Sophia Crüwell,39,1785,4
323,@jlmasterson,Jessica Masterson,37,6165,12
324,@kasa12345,Masashi Kasaki,37,4168,12
325,@OlyaKudina,Olya Kudina,37,1082,12
326,@JosefaRosUCM,Josefa Ros Velasco,36,2498,1
327,@ACConde_,Ana Carrasco-Conde,35,11265,11
328,@AnalacDe,Ana de Lacalle Ferná,34,1459,10
329,@rotkale,Liva Rotkale,34,1184,3
330,@lucianecoo,Lucia C. Neco (Luba),34,1025,12
331,@TamarSharon,Tamar Sharon,34,1020,11
332,@philosophyjenn,Jennifer,33,10935,1
333,@jolanza,"Lois Shawver, Ph.D.",33,3472,6
334,@GiadaPistilli,Giada Pistilli,31,1221,8
335,@MJFulford,Prof. Amanda Fulford,30,1368,10
336,@ShaikhaBinjasim,شيخة الجاسم,27,76495,11
337,@MarinaGarces,Marina Garcés,25,43979,10
338,@hilzoy,hilzoy,25,4740,12
339,@astral_monad,Dr. Wanyoung Kim ⚛️🌊🤍,25,1602,6
340,@RoxanneDes4ges,Roxanne Desforges,24,1955,11
341,@Su_philos,Sunaina Arya,24,1736,4
342,@brunskellevans,Dr H Brunskell-Evans,23,13013,9
343,@itirerhart,Itır Erhart,22,9526,10
344,@SoniaSikka4,Sonia Sikka,22,3731,2
345,@PLuegotuiteo,"pienso,luegotuiteo",21,1644,4
346,@JokeHermsen,Joke Hermsen,20,5753,12
347,@ntshmccrthy,Natasha McCarthy,20,1278,11
348,@chipperpj,PJ Mariano Capistrano,20,1119,11
349,@LauraFBelli,Laura F Belli,19,5374,12
350,@KirstenFisher,Kirsten J. Fisher,18,1706,11
351,@BarbaraBleisch,Bleisch,17,8542,8
352,@lizbruton,Dr Elizabeth Bruton (she / her) 🏳️‍🌈,17,3049,10
353,@rrgould,Rebecca Ruth Gould,17,2237,9
354,@moirapez,Moira Pérez #MilicosNuncaMás,17,1636,4
355,@AsmaaSpectrum,اسْمَاء,17,1107,12
356,@OnSophiaStreet,Rabbi Dr Laura Duhan-Kaplan 🇨🇦🇺🇸🕊,14,1866,10
357,@KellyOliverBook,Kelly Oliver,14,1653,7
358,@NatalieBrender,Natalie Brender,14,1653,11
359,@roxrodri,Roxana Rodriguez Ortiz,14,1282,12
360,@AlbaLafarga,Alba Lafarga,9,2215,11
361,@silvialgil,Silvia L. Gil,7,1226,10
362,@EveKeneinan,Eve Keneinan 𝛗☦️ن,6,8876,11
363,@xiscahomar,Xisca Homar,6,1034,11
364,@BeeFaerie,Deborah Russell MP 🐝,4,7022,12
