,username,accountname,peer follower,follower,time on Twitter
113,@SabinaLeonelli,Sabina Leonelli,324,7449,9
114,@De_dicto,Ned Block,322,4991,12
115,@dbatherwoods,David Bather Woods,322,4361,2
116,@ewinsberg,Eric Winsberg,322,3278,12
117,@annefabpeter,Fabienne Peter,322,2350,2
118,@fitelson,Branden Fitelson,320,3378,12
119,@Wiglet1981,Richard Pettigrew,320,2390,2
120,@Utiliwood,Christopher Woodard,319,2637,10
121,@daisyldixon,Daisy Dixon,318,11809,9
122,@JTasioulas,John Tasioulas,316,22561,9
123,@SteveCooke,GrumpyPhilosopher,316,4833,14
124,@agholdier,A.G. Holdier,316,3393,12
125,@olehjortland,Ole Hjortland,315,3441,14
126,@craigafrench,Craig French,315,3160,8
127,@FarbodAkhlaghiG,Farbod Akhlaghi,312,2579,7
128,@js_thrill,the leader (pls follow),311,4915,14
129,@chaospet,Ryan Lake,311,3181,14
130,@drnelk,Dov Nelkin OOoooooo,310,8345,14
131,@emilytwrites,Emily Thomas,310,5401,4
132,@JohnjoCallanan,John Callanan,309,2561,12
133,@PhilosophyShep,Joshua Shepherd,308,1544,1
134,@scottjshapiro,Scott Shapiro,307,75320,5
135,@consequently,Greg Restall,307,6593,14
136,@SamJaneB,Dr. Samantha Brennan,307,3737,13
137,@KathrineCuccuru,Kathrine Cuccuru,307,1908,6
138,@JulianBaggini,Julian Baggini,306,22436,13
139,@martinjanello,Martin Janello,305,10805,7
140,@Schellenberg_1,Susanna Schellenberg,305,1761,1
141,@Franz_Berto,Francesco Berto,304,3604,10
142,@GeorgeShiber,George Shiber,303,38998,7
143,@johnfsymons,John Symons,303,2581,8
144,@DavidEdmonds100,David Edmonds,302,7815,8
145,@christianmunthe,Christian Munthe,299,6658,12
146,@HawleyKatherine,Katherine Hawley,299,3090,6
147,@motimizra,M. Mizrahi,298,2222,8
148,@paulboghossian,Paul Boghossian,297,4466,12
149,@JohnDanaher,John Danaher,296,8376,10
150,@SaraLUckelman,Doctor Logic,295,5330,7
