,username,accountname,peer follower,follower,time on Twitter
497,@JacksonKernion,Jackson Kernion,149,2144,12
498,@ErsatzDoctor,Ersatz Doctor,149,1639,1
499,@KathrynNave,Kate Nave,149,1320,10
500,@idmonfish,David Hunter,148,2305,13
501,@hohwy,Jakob Hohwy,147,4087,13
502,@jneuf,Jonathan A Neufeld,147,1677,11
503,@yournerdyfriend,monstera adansonii,146,4344,6
504,@ShannonDea1,Shannon Dea,146,1847,9
505,@JoseZalabardo,Jose Zalabardo,145,1075,10
506,@AllenStairs,Allen Stairs,144,2979,13
507,@DrBenCostello,Dr Benjamin Costello,144,1938,10
508,@psychosyntax,David Pterodactyl,144,1791,11
509,@TobyMeadows,Moby Teadows,144,1720,12
510,@lewgord,LEWIS GORDON,143,6243,9
511,@chrisletheby,Chris Letheby,143,3766,8
512,@danielwharris,Daniel Harris,143,1165,13
513,@er_ogland,Emily Rose Ogland,142,1196,5
514,@SportIsARight,Dr. Veronica Ivy,141,11451,11
515,@PhiloNatural,J.J. Chipchase,141,1995,6
516,@schwarz_seher,Sera,141,1629,5
517,@sillynous,gabagRool,140,1296,12
518,@Andrulus,Andrew Lopez,140,1236,12
519,@mljanderson,Michael Anderson,139,1985,7
520,@MartinMontoya__,Martin Montoya Camacho,139,1449,10
521,@melady_fritz,Melady Elifritz,139,1313,4
522,@acgrayling,A C Grayling #FBPE 3.5% #Reform #Rejoin #FBPA 🐟,138,123429,12
523,@RRitunnano,Rosa Ritunnano,138,3635,2
524,@ATBollands,Natural Philosopher,138,2483,11
525,@davidbkinney,David Kinney,138,1377,11
526,@jackieAsullivan,Jacqueline Anne Sullivan,138,1048,10
527,@GunnarBj,Gunnar Björnsson,137,4082,12
528,@AlineMayaP,Dr Aline Maya,137,3809,6
529,@lucyamcdonald,Lucy McDonald,137,2543,8
530,@LaMetaphysique,Mathieu Sourdeix,137,2209,11
531,@FearLoathingBTX,Carl Elliott,136,5827,11
532,@jcohen570,Joshua Cohen,136,4834,14
533,@byrne_a,alex byrne,136,2084,10
534,@SophieStams,Dr Sophie Stammers,136,1123,10
535,@neva9257,Nicholas G. Evans,135,4589,15
536,@PublicEthics,Angus Dawson,135,3391,7
537,@GWFHeyGirl,Heygirlian,135,2879,3
538,@philosopher54,philosopher54,135,1934,10
539,@MRSpicher,Aesthetics Research Lab / Michael Spicher,135,1672,6
540,@seventanterpost,Steven Patterson,135,1282,10
541,@DSilvermint,Daniel Silvermint,134,8425,4
542,@learnfromerror,♕Deborah Mayo♕,134,7234,8
543,@deontologistics,pete wolfendale,134,7034,11
544,@qualiaisreal,Alison Niedbalski,134,2776,13
545,@LizaJThompson,Liza Thompson,134,1662,10
546,@MicahTillman,Micah Tillman,134,1305,12
547,@WhyJenWhy,small stellated dodecahadron collider,134,1302,8
548,@LizMcKinnell,Liz McKinnell,134,1077,10
549,@emmyzen,Emmy van Deurzen☀️🌍 🌻🌹🌳🇪🇺🇫🇷🇳🇱🇬🇧🇺🇸⭐️,133,56163,13
550,@JohnKaag,John Kaag,133,3581,6
551,@SabineRoeser,Sabine Roeser,133,2182,10
552,@tenderlettuce,Tender Lettuce 🥬,133,1677,3
553,@WillemvdVen,Willem van de Ven,133,1448,12
554,@Hawally_,Adriana Alcaraz-Sánchez🦇,133,1276,7
555,@Cepaea,Roberta Millstein,133,1045,13
556,@turingcop,David John Roden,132,4173,13
557,@HPSGlonk,Dominic Berry,132,4021,11
558,@a_n_a_berg,Anastasia Berg,132,2921,5
559,@apsullivan,Aaron Paul Sullivan,132,2636,12
560,@DanZahavi,Dan Zahavi,132,2557,2
561,@CommunicatMind,Richard Moore,132,1342,2
562,@RohanFrench,Rohan French,132,1189,11
563,@PeterSmith,Peter Smith,131,3187,14
564,@s_m_kay,S K🛁🏴,131,1412,6
565,@miyazono_kengo,Kengo Miyazono,131,1058,7
566,@mary_leng,Mary Leng,130,2766,6
567,@ThomasReydon,Thomas Reydon,130,1273,5
568,@mariabaghramian,maria baghramian,130,1236,13
569,@DrPaulGiladi,Paul Giladi,130,1127,4
570,@mollycrockett,M.J. Crockett,129,14647,11
571,@Dr_inPhieVeigl,Sophie Juliane Veigl,129,1474,4
572,@hakkarainenphil,Jani HakkarainenPhil,129,1362,9
573,@aj_wendland,Aaron James Wendland,129,1237,1
574,@philizopher,wintermoonrise,129,1162,12
575,@scmbradley,Seamus,129,1017,13
576,@DrTJC,Prof. TJCurry Ph.D MPH,128,16510,12
577,@DrJSellars,John Sellars,128,4226,10
578,@MollieGerver,Mollie Gerver,128,1266,13
579,@Unemployedneg,Jason Read,127,9916,3
580,@LILCICERCH,Lillian Cicerchia,127,5421,2
581,@babette_babich,Babette Babich,127,4276,10
582,@DrKeishaRay,"Keisha Ray, PhD",127,2513,3
583,@MatthiasMichel_,Matthias Michel,127,2424,5
584,@GDBlunt,Gwilym David Blunt,127,2299,9
585,@DrClareChambers,Clare Chambers,127,1697,9
586,@OpheliaDeroy,ophelia.deroy,127,1606,10
587,@DrTomOShea,Tom O'Shea,127,1421,5
588,@anotherpanacea,Joshua A. Miller,127,1129,13
589,@pbradl42,Peter Bradley,127,1087,13
590,@A_Thomas_Bolduc,aaron,127,1077,5
591,@drlabossiere,Michael LaBossiere,126,1777,12
592,@AmeliaHorgan,Amelia Horgan,125,19062,11
593,@PhilosopherCrip,Joseph Stramondo - ♿️✒️🤓✊️,125,3013,5
594,@Cedric_Eyssette,Cédric Eyssette,125,2345,14
595,@MilekPl,Marcin Miłkowski,125,1428,10
596,@annaortin,Anna Ortín Nadal,125,1061,10
597,@amyrmarv,Amy Marvin,124,4675,6
598,@Jen_BMJ,Dr Jen Krutzinna,124,1928,8
599,@trexproject,L. A. Paul,124,1301,8
600,@GDolske,Gwendolyn Dolske,124,1240,9
601,@firepile,Robin Z.,123,2413,14
602,@giuli_cavaliere,Giulia Cavaliere,123,1754,6
603,@thom_brooks,Thom Brooks,122,29907,12
604,@sophie_r_allen,Dr Sophie Allen,122,3327,4
605,@karen_kyng,Karen Ng,122,2529,1
606,@skdevitt,Kate Devitt,122,2513,13
607,@MdKirchhoff,Michael David Kirchhoff,122,2144,2
608,@sandrineankara,Sandrine Berges,122,1398,12
609,@DonovanIrven,Donovan Irven,122,1261,10
610,@runthinkwrite,Jon Pike,121,13033,10
611,@SynFutures,Synthetic Future(s),121,3565,9
612,@alinemramos,"Aline M. Ramos, PhD",121,1564,14
613,@EikelandOlav,ΔιάττωνΑστήρ,121,1481,8
614,@pirateV,Vanessa Bentley,121,1026,13
615,@nigel_hems,Nigel Hems,120,24664,11
616,@raphaelmilliere,Raphaël Millière,120,3777,5
617,@OppyGraham,Graham Oppy,120,2955,8
618,@lunadolezal,Luna Dolezal,120,2172,9
619,@FigNuisance,👖Denim on Denim Fan Account👖,120,1286,9
620,@philoshua,"J.D. Blanchard, doctor of philosophy of philosophy",120,1261,2
621,@federicarusso,Federica Russo,120,1211,9
622,@RobertLepenies,Robert Lepenies,119,7072,7
623,@adamhayden,Adam Hayden (he/him),119,5266,13
624,@MaximilianKien2,Maximilian Kiener,119,1384,3
625,@phl43,Philippe Lemoine,118,33863,5
626,@kvallier,Kevin Vallier,118,3858,13
627,@philosophyteach,andrew rogers,118,2560,9
628,@BaptisteLeBihan,Baptiste Le Bihan,118,1449,10
629,@boodleoops,becca,117,18907,12
630,@patstokes,Patrick Stokes,117,7116,13
631,@CamelsHammers,Dan Fincke,117,4386,9
632,@MatinaLiosi,Matina Liosi,117,1350,2
633,@avery_kolers,Avery Kolers,117,1025,6
634,@amelapay,Pamela J. Hobart,116,6114,13
635,@IrishPhilosophy,IrishPhilosophy,116,4121,7
636,@BeachPhilosophy,Samuel Paul Douglas,116,2544,7
637,@JonathanJFuller,Jonathan Fuller,116,1252,8
638,@stephen_gadsby,Stephen Gadsby,115,1210,4
639,@iamastrangebool,⊤,114,1717,1
640,@AlexBradner,Alexandra Bradner,114,1545,10
641,@PeterWestOram,Peter West-Oram,114,1237,5
642,@danieljhicks,🐈‍⬛ Dan Hicks 🐈,114,1150,9
643,@tamler,Tamler Sommers,113,13618,12
644,@JDHamkins,Joel David Hamkins,113,12912,6
645,@MattNoahSmith,Matthew Noah Smith,113,1811,6
646,@d_tateshi,Tateshi,113,1208,1
647,@evolanguagemind,David Vanegas,113,1201,4
648,@NicholsonHPBio,Daniel J. Nicholson,112,1696,4
649,@ppverbeek,Peter-Paul Verbeek,111,7409,11
650,@BasqPhilosopher,Basque Philosopher,111,1445,9
651,@PoliticalPhilo,Thomas Gregersen,110,3751,12
652,@pilica,Pilar Herraiz,110,2304,14
653,@kylothomas,Kylo is on a break,110,1641,12
654,@goldenbergmaya1,Dr. Maya J. Goldenberg,110,1522,1
655,@AlisonReiheld,"Alison Reiheld, PhD",110,1001,8
656,@jeffrsebo,Jeff Sebo,109,4814,6
657,@aesager,Alex Sager,109,3173,9
658,@yujinnagasawa,Yujin Nagasawa,109,2328,7
659,@participha,hanne de jaegher,109,1599,7
660,@NikVenkatesh,Nikhil Venkatesh,109,1555,9
661,@hubertdreyfus,Hubert Dreyfus,108,3061,11
662,@mk_arnold,Markus Arnold,108,1324,9
663,@Philos_Beard,Thomas R. Wells,108,1270,8
664,@GregoryRupik,Greg Rupik,108,1141,5
665,@mmsksie,Maureen Sie,108,1094,12
666,@ellieabyrne,Eleanor Byrne,108,1067,12
667,@JustinTosi,Justin Tosi,107,1655,11
668,@MassSimons,Massimiliano Simons,107,1618,2
669,@nmcafee,Noelle McAfee,107,1160,13
670,@dioscuri,Henry Shevlin,107,1112,13
671,@old_ric,Ricardo 🥲,106,1960,13
672,@KrisMeshelski,Kristina Meshelski,106,1002,10
673,@platobooktour,Rebecca Newberger Goldstein,105,67158,8
674,@DrBrandonHogan,Dr.Hogan,105,1515,11
675,@StefanFSchubert,Stefan Schubert,104,12545,7
676,@ashwinivasantha,AV,104,2128,9
677,@APetropanagos,Angel Petropanagos,104,1507,13
678,@imKopfetschirpt,Tim Flanagan,104,1248,8
679,@SpinellaJake,Philebus Bridgers,104,1078,10
680,@AdrielTrott,Adriel M Trott,104,1014,9
681,@BenBurgis,Ben Burgis,103,44137,3
682,@DavidAAldridge,David Aldridge,103,5601,11
683,@BioethicsUK,Nathan Emmerich,103,3913,13
684,@nicolapolloni,Nicola Polloni,103,2905,11
685,@JohnBAppleby,John B Appleby,103,1599,10
686,@OxPhil_Marianne,Marianne Talbot,102,3146,9
687,@qaxaawut,Shelbi Nahwilet 🌰,102,2834,11
688,@LeneAuestad,Dr Lene Auestad,102,2643,7
689,@NigelWarburton,Nigel Warburton,102,1998,11
690,@cmalcolmkeating,Malcolm Keating,102,1994,9
691,@Wilkinson2S,Stephen Wilkinson,102,1822,7
692,@greg_m_priest,Greg Priest,102,1539,6
693,@adamvs1,Adam van Sertima,102,1264,12
694,@should_b_workin,Alex Sarch,102,1169,12
695,@Mattzwolinski,Matt Zwolinski,101,5649,10
696,@the_if_man,Peter Worley,101,2863,10
697,@LeifWenar,Leif Wenar,101,2512,6
698,@DanielMFeige,Daniel Martin Feige,101,1502,1
699,@gprimiero,Giuseppe Primiero,101,1284,11
700,@AlexBroadbent,Alex Broadbent,101,1268,3
701,@JenelleGloria,jenelle salisbury,101,1193,12
702,@Left_Hegelian,Steven Levine,100,1911,4
703,@Sean_D_Kelly,Sean Dorrance Kelly,100,1826,11
704,@ElineAtSea,Eline Gerritsen,100,1025,11
705,@philippehune,philippe huneman 🇦🇲,99,2021,9
706,@ErinJNash,Erin Nash,99,1211,9
707,@AkselSterri,Aksel Braanen Sterri,98,10881,10
708,@ThomasMetzinger,Thomas Metzinger,98,7707,12
709,@williamirwin38,William Irwin,98,7210,7
710,@ridderjeroen,Jeroen de Ridder,98,3122,9
711,@conspiracism,M R. X. Dentith,98,2097,7
712,@CoreyJMaley,Corey J. Maley,98,1099,9
713,@NathanNobis,Nathan Nobis . com,98,1091,8
714,@happyspastic,Thomas Harvey,97,7260,9
715,@cplong,Chris Long,97,4324,15
716,@GordonMarino,Gordon Marino,97,3132,10
717,@EkinErkan4,Ekin Erkan,97,1892,2
718,@gwen_h_marshall,Gwendolyn Marshall,97,1277,10
719,@Darlobrat,nadia mehdi,96,1638,10
720,@CPalaciosG,CesarP,96,1275,10
721,@estherkey,Esther Keymolen,95,2768,13
722,@CHSommers,Christina Sommers,94,304293,10
723,@Kerrypurcell,Kerry William Purcell,94,24464,11
724,@TNREthx,Travis Rieder,94,3317,5
725,@Lzucca,Lorenzo Zucca 🇮🇹 🇪🇺🇬🇧,94,2317,13
726,@PiersBenn,Piers Benn,94,1434,11
727,@gemmalucysmart,Gemma Lucy Smart,94,1384,12
728,@ehud,Ehud Lamm إيهود 🟣,94,1286,15
729,@TetralogueBook,Tetralogue,94,1130,7
730,@ethicsblogger,Chris MacDonald,93,8090,13
731,@rach_a_williams,Rachel Anne Williams,93,6878,6
732,@BrennanJacoby,Dr Brennan Jacoby,93,4611,9
733,@RuthxJackson,Ruth Jackson Ravenscroft 🦥,93,2340,7
734,@MartaHalina,Marta Halina,93,1075,8
735,@peterboghossian,Peter Boghossian,92,201888,12
736,@bevclack,Beverley Clack 🐈 📚🧶🌹🌳🏏💀,92,7010,11
737,@flossopher,peter cave,92,2870,12
738,@lucypphilosophy,Lucy Prior,92,1504,2
739,@FutureOnFire,🔥 Future on Fire 🔥,91,4001,12
740,@filipbuekens,Filip Buekens,91,1896,10
741,@DLBarack,David L Barack,91,1409,4
742,@JBruineberg,Jelle Bruineberg 🇪🇺🇺🇦,91,1151,12
743,@Adriano_Mannino,Adriano Mannino,90,13349,8
744,@FranciMinerva,Francesca Minerva,90,2966,9
745,@TomasBogardus,Tomas Bogardus,89,2044,9
746,@SchoeneggerPhil,Philipp Schoenegger,89,1505,8
747,@philosophyideas,Peter Gibson,89,1095,11
748,@cherfeld,Catherine Herfeld,89,1017,4
749,@phillipsjs,Jonathan Phillips,88,2272,10
750,@heddamorch,Hedda Hassel Mørch,88,1532,6
751,@jdmacready,John D. Macready,88,1432,8
752,@ElucidationsPod,Matt Teichman,88,1397,8
753,@SisyphusRedemed,Prolegomena to Any Future Hot-Takes,88,1320,9
754,@jrflynn,Jeff Flynn,88,1014,12
755,@HealthUntoDeath,Tom Whyman,86,13397,11
756,@andrewjrad,Andrew,86,1171,13
757,@Metamagician,Russell Blackford,85,6684,12
758,@johncorvino,John Corvino,85,3922,11
759,@michaelwaustin,Michael W. Austin,85,2408,12
760,@pwlot,Pawel Pachniewski,84,3178,13
761,@robkowa,🇺🇦 Robert Kowalenko,84,2044,13
762,@tyler_m_john,Tyler John,84,1738,13
763,@sergio_fsf,Sérgio de Souza Filho,84,1334,11
764,@xriskology,Phil Torres,83,6406,11
765,@FrancoiseBaylis,"Francoise Baylis, PhD",83,4011,9
766,@drjoncrowe,Jonathan Crowe,83,2624,9
767,@ArianneShahvisi,Arianne Shahvisi,83,2230,1
768,@DanielTutt,Daniel Tutt,82,8914,11
769,@AAbizadeh,Arash Abi𝔃adeh,81,2451,11
770,@john_s_wilkins,John S. Wilkins,81,1931,12
771,@sridhartweet,Sridhar Venkatapuram PhD FRSA Hon FFPH,80,5058,13
772,@regresssion,alexis 🪐,80,1779,13
773,@bebeasley,Brandon Beasley 🇺🇦,80,1165,14
774,@Arrate_Filo,Arrate Aparicio,79,6314,3
775,@ockhamsbeard,Tim Dean,79,3534,13
776,@clhendricksbc,Christina Hendricks,79,2568,11
777,@SpencerJayCase,Spencer Case,79,2427,9
778,@JeyverRodriguez,Jeyver Rodriguez,79,1290,3
779,@EnvattedBrain,Giovanni Rolla,79,1057,7
780,@Roger_Scruton,In MemoriamScrutari semper,78,37749,7
781,@amber_bowen,Amber Bowen,78,3046,9
782,@Sanchez_Perez_J,Jorge Sanchez-Perez. PhD 🇵🇪,78,2521,8
783,@dmdebruijn,David de Bruijn,78,2134,9
784,@mboudry,Maarten Boudry,77,28987,9
785,@sabinedoering,Sabine Döring,77,4808,12
786,@TPBlake,Terence Blake,77,2138,11
787,@jonnythakkar,Jonny Thakkar,77,1115,8
788,@Sarah_Bakewell,Sarah Bakewell,76,4729,12
789,@MetaHumean,Humean Being,76,2665,5
790,@andrewsbowie,Andrew Bowie,76,2169,12
791,@OnAssholes,Aaron James,76,2136,9
792,@KnoxPeden,Knox Peden,75,1857,9
793,@ineshipolito,Inês Hipólito,75,1815,12
794,@situatedmonad,👻Ghostly Phenomenology👻,75,1200,9
795,@wawiese,Wanja Wiese,75,1146,4
796,@catherinerowett,Prof Catherine Rowett 💚 Ex-MEP,74,6306,8
797,@RosariaTaddeo,Mariarosaria Taddeo,74,6092,8
798,@JohnRSearle,John Searle,74,2341,1
799,@nericdickman,"Nathan Eric Dickman, PhD",74,1536,3
800,@LooraKennedy,Laura Kennedy,73,9896,8
801,@Thomas_Kupka,Thomas Kupka (phi),73,2908,7
802,@Faust_III,Wolfgang Schröder,73,2550,5
803,@robsica,Rob,73,2314,11
804,@mathew_abbott,Mathew Abbott,73,1798,10
805,@JIWarren,James Warren,73,1444,12
806,@beingandslime,Evan (ottoman),72,3422,3
807,@fbouchard,Frédéric Bouchard,72,3314,13
808,@elesebdowden,dr elese,72,1427,5
809,@metus,Johnny Soraker,72,1285,14
810,@James_Kpatrick,James Kirkpatrick,72,1169,5
811,@TomChatfield,Tom Chatfield,71,9002,12
812,@MarcelFVerweij,Marcel Verweij,71,1590,10
813,@Boaz_Schuman,Boaz Schuman,71,1418,8
814,@gsteiris,Georgios Steiris,71,1259,12
815,@stbo,Steinar Bøyum,71,1101,10
816,@KaurinShanks,Dr. Pauline Shanks Kaurin,70,4686,3
817,@FalguniSheth,Falguni Sheth,70,3347,12
818,@RikPeels,Rik Peels,70,3067,9
819,@BlumenthalBarby,JS Blumenthal-Barby,70,1187,10
820,@PostigoElena,Elena Postigo,69,13567,10
821,@rekastner,Ruth E. Kastner,69,2705,12
822,@Adam_J_Knowles,Adam Knowles,69,1927,8
823,@magnusz,Magnus Møller Ziegler,69,1748,13
824,@m_nagenborg,Michael Nagenborg,69,1530,11
825,@ProfSDodds,Susan Dodds,68,1594,6
826,@VincentCMueller,Vincent C. Müller,68,1473,8
827,@SamFellowesHPS,Sam Fellowes,68,1288,6
828,@domingosfaria,"Domingos Faria, Ph.D.",68,1107,12
829,@janedryden,Jane Dryden,68,1050,13
830,@philosophiclee,Lee Watkins,67,2045,11
831,@doctorSdS,Filippo Santoni,67,1078,9
832,@oleMMoen,Ole Martin Moen,66,2745,10
833,@james_trafford,James Trafford,66,1882,12
834,@jeffhowarducl,Jeffrey Howard,66,1573,8
835,@huginnf,Huginn Þorsteinsson,66,1274,10
836,@neo_pythagorean,Phillip Horky,66,1077,6
837,@Juan,Juan Comesaña,66,1076,15
838,@HSJSpeaks,H S Joshi,65,6987,9
839,@JoshLMilburn,Josh Milburn,65,1414,1
840,@philosopher1978,Rob Farrow,64,2470,12
841,@vermeulen_sara,Sara,64,1248,8
842,@ariannabetti,Professor Arianna Betti,63,1068,11
843,@drphilocity,Pat O'Connor,63,1042,12
844,@Scheopner,Dr. Cindy,62,4219,13
845,@SEFrench,Shannon E. French🌻,62,4001,13
846,@jud1ths1mon,judith simon,61,2179,8
847,@q_ruy,Quentin Ruyant,61,1385,11
848,@jabgreig,Jonathan Greig,61,1079,12
849,@DhandaMeena,Meena Dhanda,60,2049,8
850,@KarimJebari,Karim Jebari,59,4677,13
851,@elisa_freschi,elisa freschi,59,2125,2
852,@emilyryall,Emily Ryall,59,1576,13
853,@EPButler,Edward Butler,58,7153,12
854,@merceg1,merce garcia F,58,2366,10
855,@AineMarieMahon,Dr Áine Mahon,58,1865,1
856,@equreshihurst,Emily Qureshi-Hurst,58,1441,4
857,@chrisoldfield,chris oldfield ن,58,1249,7
858,@brianglenney,Glenney,58,1045,11
859,@ianmcorbin1,Ian Marcus Corbin,57,3266,6
860,@davidbrax,David Brax,57,1827,12
861,@DaleTuggy,Dale Tuggy,57,1660,7
862,@internetdaniel,Daniel Susser,57,1619,13
863,@msmatito,Manuel Sánchez,57,1304,9
864,@StoicThoughts,Modern-Day Stoic,56,13220,10
865,@WEilenberger,Wolfram Eilenberger,56,8202,7
866,@AminNayebpour,Amin Nayebpour (مابوص و مشابوص),56,2612,11
867,@TomVMorris,Tom Morris,55,7250,13
868,@jocelynmaclure,Jocelyn Maclure,55,2397,8
869,@chrispanza,Philosopher Always Running™ 🏃🏽,55,2363,11
870,@willbuckingham,Will Buckingham,54,2887,13
871,@anibalmastobiza,Aníbal Monasterio Astobiza,54,2547,13
872,@BufacchiV,Vittorio Bufacchi,54,1752,4
873,@DianeOLeary,"Diane O'Leary, PhD",54,1673,12
874,@SpiralChris,Chris Bateman,53,3688,10
875,@RupertRead,Prof. Rupert Read,52,7599,14
876,@Mrollila,Maija-Riitta Ollila,52,3380,7
877,@BeckPitt,Dr. Beck Pitt,52,3147,11
878,@jasonleebyas,Jason Lee Byas ⚑,52,2188,13
879,@charlesweijer,Charles Weijer,52,1586,9
880,@AJDieguez,Antonio Dieguez,51,5206,10
881,@pickstockc,Catherine Pickstock,51,3767,3
882,@carlbaker,Carl Baker,51,3751,13
883,@DidierMoulinier,Didier Moulinier,51,2621,12
884,@CynthiaRogandeR,CynthiaRogandeRamire,51,2280,9
885,@93pedrobravo,pedro bravo,51,1671,2
886,@janeclarejones,Dr. Jane Clare Jones 🦕,50,52375,11
887,@JylkkaJussi,Dr. Jussi Jylkkä,50,1799,5
888,@exilefaker,p(Alex Kiefer | everything else),50,1168,13
889,@tpequeno,Tarcisio Pequeno,49,8096,12
890,@craigwarmke,Craig Warmke,49,4681,2
891,@yukoim,Yuko Murakami,49,3232,12
892,@ClimatePhilo,Byron Williston,49,1291,9
893,@AngelaRoothaan,Dr. Angela Roothaan,49,1237,8
894,@carinaprunkl,Carina Prunkl,49,1210,3
895,@AugusteNahas,Auguste Nahas,49,1124,7
896,@james_ka_smith,James K.A. Smith,48,37715,10
897,@FriedrichHayek,TakingHayekSeriously🧨,48,18968,13
898,@mtscano,mtoscano,48,2837,7
899,@jeremycsnyder,Jeremy Snyder,48,1994,12
900,@hoven_j,Jeroen van den hoven,48,1927,10
901,@corradosinigagl,corrado sinigaglia,48,1015,9
902,@Duncanivison,Duncan Ivison,47,3248,10
903,@sarahlillyheidt,Sarah Lilly (Heidt) Eaton,47,1543,11
904,@emilylawsonpoet,Emily Lawson,47,1218,6
905,@JoanaRSSousa,joana rita sousa 🦄 💩💎 (she/her/ela/a),46,18030,13
906,@HermesVarini,"Hermes Varini, PhD",46,2039,12
907,@juanantonionegr,Juan Antonio Negrete,46,1943,10
908,@sabrinablittle,Sabrina Little,45,4940,11
909,@Marnie_HW,MarnieHW,45,4321,8
910,@petermjaworski,Peter Jaworski 🇨🇦,45,2252,13
911,@gloriaoriggi,Gloria Origgi,45,1482,13
912,@dwgrunner,David Grunner,45,1196,10
913,@michaelhand571,Michael Hand,45,1034,12
914,@nathancofnas,Nathan Cofnas,44,7130,5
915,@JosetteDaemen,Josette Daemen,44,3655,2
916,@tweedpipe,Charles Foster,44,3471,13
917,@shershovitz,Scott Hershovitz,44,3145,8
918,@kkolozova,Katerina Katarina Kolozova,44,2508,12
919,@jzamorabonilla,La nada nadea.,43,11225,12
920,@DrJeremyNeill,Jeremy Neill,43,8824,5
921,@DrGipps,Richard Gipps,43,1928,1
922,@TafallaMarta,Marta Tafalla,42,8903,9
923,@bryanmukandi,Bryan Mukandi,42,1567,3
924,@Sonamsangbo,Soraj Hongladarom,41,24713,13
925,@garylfrancione,Prof. Gary Francione,41,13967,12
926,@SamRochadotcom,"Sam Rocha 🇺🇦 pacem in terris, fratelli tutti",41,7032,10
927,@jorgefabraz,Jorge Fabra Zamora,41,1556,13
928,@sofia_blancos,Sofia Blanco Sequeiros 🇺🇦,41,1441,8
929,@EGeertsPhD,"Evelien Geerts, PhD",41,1268,13
930,@JuanRLoaiza,Juan R. Loaiza,41,1213,11
931,@GuidoCaniglia,Guido Caniglia 🏳️‍🌈,41,1025,8
932,@quintanapaz,miguel ángel quintana paz,40,65018,12
933,@romankrznaric,Roman Krznaric,40,17889,12
934,@fidlerfm,Fiona Fidler,40,2372,12
935,@dlittle30,Dan Little,40,2210,13
936,@alainguillemain,Alain Guillemain,40,1945,12
937,@digital_objects,Yuk Hui,39,11889,10
938,@doctorimperator,Mustafa Yavuz 🇹🇷,39,3023,9
939,@LeonHeuts,Leon Heuts,39,2723,11
940,@FilippaRonquist,Filippa Ronquist,39,2228,8
941,@cruwelli,Sophia Crüwell,39,1785,4
942,@JacquesR,Jacques Rousseau,38,13906,13
943,@slingerland20,Edward Slingerland,38,3385,5
944,@Caglar_Koc_,Çağlar Koç,38,1102,9
945,@RoccoLozano,Valerio Rocco Lozano,37,6448,4
946,@jlmasterson,Jessica Masterson,37,6165,12
947,@kasa12345,Masashi Kasaki,37,4168,12
948,@OlyaKudina,Olya Kudina,37,1082,12
949,@JosefaRosUCM,Josefa Ros Velasco,36,2498,1
950,@ACConde_,Ana Carrasco-Conde,35,11265,11
951,@G_Ferreira,Gᴀʙʀɪᴇʟ Fᴇʀʀᴇɪʀᴀ ᵠ ※,35,4152,13
952,@RoderickTLong,Roderick T. Long,35,3551,9
953,@LeeCMcIntyre,Lee McIntyre,35,1858,9
954,@HorcherF,Ferenc Hörcher,35,1561,2
955,@patrickkloesel,Patrick Klösel,35,1027,3
956,@Aspirar_al_uno,Carlos Javier González Serrano,34,47190,11
957,@yldzrf,Arif Yildiz,34,2490,3
958,@Shermanicus,Jacob Sherman,34,1820,8
959,@ProfAndyCarp,Andy Carpenter,34,1691,14
960,@AnalacDe,Ana de Lacalle Ferná,34,1459,10
961,@rotkale,Liva Rotkale,34,1184,3
962,@tomecicuta,marcos fanton,34,1070,2
963,@lucianecoo,Lucia C. Neco (Luba),34,1025,12
964,@TamarSharon,Tamar Sharon,34,1020,11
965,@philosophyjenn,Jennifer,33,10935,1
966,@Cultuurfilosoof,Jelle van Baardewijk,33,4873,12
967,@aamonnz,Alexandre Monnin,33,3906,14
968,@jolanza,"Lois Shawver, Ph.D.",33,3472,6
969,@Miroandrej,Miroslav Imbrisevic,33,3427,10
970,@djleufer,Daniel Leufer,33,3308,5
971,@pavelgregoric,Pavel Gregoric,33,2097,10
972,@WPaul,Paul Franks,33,1233,13
973,@aydinonat,N. Emrah Aydınonat,32,5673,12
974,@glenn_mcgee,Glenn McGee,32,4158,13
975,@Recursive_idiot,Robert Jackson,32,1059,13
976,@williamcrawley,William Crawley,31,40767,13
977,@okvalnes,Øyvind Kvalnes,31,8709,12
978,@LargeWlarge63,William Large,31,3898,10
979,@JamesLuchte,Dr James Luchte,31,1991,9
980,@GiadaPistilli,Giada Pistilli,31,1221,8
981,@MarkRyanEthics,Mark Ryan,31,1067,2
982,@eledututor,Eduardo Infante,30,29397,10
983,@victorbermudezt,Víctor Bermúdez,30,3481,10
984,@andrewjtaggart,Andrew J. Taggart,30,2307,11
985,@MJFulford,Prof. Amanda Fulford,30,1368,10
986,@jdlyonhart,jd lyonhart,30,1000,4
987,@Alsharif_HS,Hassan Alsharif | حسن الشريف,29,23546,6
988,@idevisch,Ignaas Devisch,29,16246,12
989,@_John_Mikhail,John Mikhail,29,3717,4
990,@berendvdkolk,Berend van der Kolk,29,1579,11
991,@illetterati,luca illetterati,29,1575,11
992,@agtgibson,Andrew G. Gibson,29,1465,11
993,@MaelGoarzin,Maël Goarzin,29,1109,10
994,@JavierGomaL,Javier Gomá Lanzón,28,20533,10
995,@BarisBayram2045,Barış Bayram #BarışVakası,28,2073,8
996,@NoeticBug,Nadim A. Al-Hasani,28,1980,11
997,@jttheophilus,JT Turner,28,1097,11
998,@ShaikhaBinjasim,شيخة الجاسم,27,76495,11
