Title,All Gender,Nonbinary,Women,Men
Professor,950,2,207,741
Associate Professor,456,0,148,308
Assistant Professor,283,2,122,159
Visiting Professor,124,0,31,93
Emeritus Professor,571,0,78,493
Adjunct Professor,139,0,30,109
Lecturer,278,0,65,213
