School,Total Women,,Total,All TT, TT Women,,All Full,Full NB, Full Women,All Assoc,Associate NB, Assoc Women,All Assist,Assistant NB, Assist Women,All Visit,Visit NB, Visit Women,All Emer,Emer NB, Emer Woman,All Adj,Adj NB, Adj Women,All Lect,Lect NB, Lect Women,All All,Women All,Uncounted faculty
"University of Missouri, Columbia",3,,16,11,3,,4,,0,5,,2,2,,1,1,,0,6,,1,3,,0,1,,0,22,4,
Arizona State University,6,,22,13,3,,5,,2,4,,0,4,,1,0,,0,3,,0,0,,0,9,,3,25,6,
Baylor University,3,,13,13,3,,8,,1,1,,0,4,,2,0,,0,4,,1,0,,0,0,,0,17,4,
Boston College,14,,47,24,6,,10,,1,12,,3,2,,2,2,,1,2,,0,1,,0,20,,7,49,14,
Boston University,8,,24,20,6,,8,,3,8,,1,4,,2,2,,2,7,,0,0,,0,2,,0,31,8,
Bowling Green State University,2,,10,8,2,,2,,0,3,,1,3,,1,0,,0,8,,1,0,,0,2,,0,18,3,
Catholic University of America,5,,26,23,4,,6,,1,11,,2,6,,1,0,,0,3,,1,0,,0,3,,1,29,6,
DePaul University,7,,20,15,6,,11,,5,4,,1,0,,0,0,,0,4,,1,5,,1,0,,0,24,8,
Duquesne University-,12,,31,12,4,,4,,1,7,,2,1,,1,0,,0,2,,0,6,,3,13,,5,33,12,
Emory University,10,,21,15,7,,10,,3,4,,3,1,,1,4,,2,5,,2,0,,0,2,,1,26,12,
Fordham University,11,,46,27,9,,11,,3,12,,3,4,,3,0,,0,4,,0,17,,2,2,,0,50,11,
Loyola University-Chicago,10,,33,26,10,,10,,4,7,,2,9,,4,0,,0,13,,3,2,,0,5,,0,46,13,1
Marquette University,12,,32,22,8,,11,,1,5,,1,6,,6,10,,4,8,,1,0,,0,0,,0,40,13,
Michigan State University,8,,29,27,8,,13,,2,6,,3,8,,3,0,,0,18,,6,0,,0,2,,0,47,14,
New School University,5,,21,12,4,,7,,2,4,,2,1,,0,3,,0,0,,0,6,,1,0,,0,21,5,
Pennsylvania State University,9,,26,19,7,,9,,3,7,,3,3,,1,0,,0,2,,1,0,,0,7,,2,28,10,
Purdue University,4,,21,19,3,,13,,1,3,,1,3,,1,2,,1,7,,2,0,,0,0,,0,28,6,
Southern Illinois University at Carbondale,1,,7,5,1,,2,,0,2,,1,1,,0,2,,0,11,,2,0,,0,0,,0,18,3,
SUNY Albany,4,,15,11,3,,4,,1,4,,1,3,,1,0,,0,7,,2,3,,1,1,,0,22,6,
SUNY Binghamton,6,,14,14,6,,8,,4,6,,2,0,,0,0,,0,0,,0,0,,0,0,,0,14,6,
SUNY Buffalo,3,,15,15,3,,6,,1,6,,1,3,,1,0,,0,6,,0,0,,0,0,,0,21,3,
SUNY Stony Brook,5,,19,19,5,,13,,2,4,,2,2,,1,0,,0,10,,2,0,,0,0,,0,29,7,
Temple University,5,,14,14,5,,7,,2,2,,2,5,,1,0,,0,3,,1,0,,0,0,,0,17,6,
Texas A&M University,5,,23,23,5,,13,,4,5,,1,5,,0,0,,0,3,,0,0,,0,0,,0,26,5,
Tulane University,3,,18,13,3,,5,,1,4,,1,4,,1,2,,0,3,,0,0,,0,3,,0,21,3,
UC Santa Cruz,4,,13,10,2,,1,,0,7,,1,2,,1,0,,0,6,,1,0,,0,3,,2,19,5,
University of Arkansas,3,,18,8,0,,4,,0,3,,0,1,,0,2,,1,0,,0,0,,0,8,,2,18,3,
University of Cincinnati,3,,14,11,3,,6,,1,5,,2,0,,0,0,,0,8,,1,3,,0,0,,0,22,4,
University of Dallas,2,,19,12,1,,6,,0,6,,1,0,,0,0,,0,0,,0,7,,1,0,,0,19,2,
University of Florida,6,,18,12,3,,3,,0,5,,1,4,,2,0,,0,2,,0,3,,2,3,,1,20,6,
University of Georgia,6,,15,13,5,,6,,2,6,,3,1,,0,0,,0,8,,0,0,,0,2,,1,23,6,
University of Hawaii-Manoa,4,,14,10,2,,7,,2,2,,0,1,,0,0,,0,5,,1,0,,0,4,,2,19,5,
"University of Illinois, Champaign-Urbana",2,,14,13,2,,0,,0,5,,2,8,,0,0,,0,12,,0,0,,0,1,,0,26,2,
University of Iowa,8,,21,12,6,,7,,2,5,,4,0,,0,5,,1,3,,0,3,,1,1,,0,24,8,
University of Kansas,5,,15,14,4,,6,,1,7,,3,1,,0,0,,0,5,,0,0,,0,1,,1,20,5,
University of Kentucky,8,,17,16,7,,6,,1,6,,3,4,,3,1,,1,7,,0,0,,0,0,,0,24,8,
University of Memphis,8,,22,11,3,,4,,2,4,,0,3,,1,5,,4,6,,2,2,,1,4,,0,28,10,
University of Nebraska,3,,13,12,2,,8,,1,4,,1,0,,0,0,,0,1,,0,0,,0,1,,1,14,3,
University of New Mexico,6,,16,11,4,,7,,2,3,,2,1,,0,0,,0,6,,0,2,,1,3,,1,22,6,
University of Oklahoma,3,,15,14,3,,9,,3,4,,0,1,,0,1,,0,5,,1,0,,0,0,,0,20,4,
University of Oregon,9,,19,12,6,,5,,4,3,,0,4,,2,0,,0,3,,1,1,,0,6,,3,22,10,
University of South Carolina,8,,24,16,6,,8,,1,4,,2,4,,3,0,,0,5,,0,4,,2,4,,0,29,8,
University of South Florida,5,,25,18,4,,10,,1,7,,2,1,,1,3,,0,7,,1,3,,0,1,,1,32,6,
University of Tennessee-Knoxville,8,,28,11,4,,4,,1,5,,1,2,,2,0,,0,4,,0,3,,1,14,,3,32,8,
University of Utah,10,,23,18,9,,7,,4,7,,2,4,,3,0,,0,5,,0,0,,0,5,,1,28,10,
University of Washington,8,,22,12,5,,5,,2,4,,2,3,,1,2,,1,13,,3,3,,1,5,,1,35,11,
Vanderbilt University,4,,16,14,4,,8,,1,2,,1,4,,2,0,,0,7,,1,0,,0,2,,0,23,5,
Villanova University,4,,18,16,4,,7,,2,4,,1,5,,1,1,,0,7,,0,0,,0,1,,0,25,4,
Wayne State University,4,,23,9,3,,3,,0,5,,3,1,,0,0,,0,1,,0,12,,1,2,,0,24,4,
