name,query
"Addams, Jane",
Aesara of Lucania,
"Ambrose, Alice",
"Andreas-Salomé, Lou",
"Anscombe, Gertrude E. M.",
"Arendt, Hannah",
"Arnauld, Agnès",
"Arnauld, Angélique",
"Astell, Mary",
Ban Zhao,
"Beauvoir, Simone de",
"Beecher, Catharine",
"Blackwell, Antoinette Brown",
"Bradstreet, Anne",
"Du Châtelet, Émilie",
"Christina Wasa, Queen of Sweden",
"Cobbe, Frances Power",
"Conrad-Martius, Hedwig",
"Conway, Anne",
"Cheney, Ednah Dow",
"Child, Lydia Maria",
"Dacier, Anne Le Fèvre",
"Deshoulières du Ligier de la Garde, Antoinette",
Diotima of Matinea,
"Druskowitz, Helene",
Julian of Norwich,
"Günderrode, Karoline von",
"Ebenspanger, Elly",
"Gilman, Charlotte Perkins",
"Gournay, Marie le Jars de",
"Grgić, Maja Hudoletnjak",
"Grouchy, Sophie de, Marquise de Condorcet",
"Guyon, Jeanne-Marie Bouvier de la Motte",
Héloïse,
"Hersch, Jeanne",
Im Yunjidang,
"Jones, Emily Elizabeth Constance",
"Kofman, Sarah",
"Kučera, Elza",
"Lambert, Anne-Thérèse de Marguenat de Courcelles, Marquise de",
"Lange, Luise",
"Lee, Vernon",
Mechthild von Magdeburg,
"Maintenon, Françoise d'Aubigné de",
"Masham, Damaris Cudworth",
"Midgley, Mary",
"Murdoch, Iris",
"Nogarola, Isotta",
"Nordenflycht, Hedvig Charlotta",
"Pascal, Jacqueline",
"Porete, Marguerite",
Murasaki Shikibu,
"Rabutin-Chantal, Marie de",
"Rand, Ayn",
"La Sablière, Marguerite Hessein de Rambouillet de",
"Sablé, Madeleine de Souvré Marquise de",
"Sabuco de Nantes, Oliva",
"Scudéry, Madeleine de",
"Shklar, Judith",
"Siena, Catherine of",
"Stebbing, Susan",
"Stein, Edith",
"Swetchine, Anne Sophie",
"Taylor Mill, Harriet",
"Voigtländer, Else",
"Warren, Mercy Otis",
"Weil, Simone",
"Wheeler, Anna Doyle",
"Wollstonecraft, Mary",
"Wright, Frances (Fanny)",
